channel_name,subscribers,total_videos,total_views,category,stored_video_count
"Because Science",1470000,353,166313410,big,173
"ABC News (Australia)",2490000,106920,1420348793,big,25
"Code Step By Step",392000,4493,89851686,medium,8
"MLT Education Point",434000,535,38417556,medium,222
"सदाबहार Movies",4500000,1128,1101969868,big,50
"Insider Tech",4210000,4346,1728204993,big,0
"WhatCulture Gaming",1700000,6782,962116550,big,9
"Soft Calm Music",944000,520,245598227,medium,413
"DLS News",23000000,8753,3645630367,big,71
"BBC Sport",899000,3222,284354942,medium,26
"Simply Coding",153000,259,15100626,medium,256
"Argus News",1750000,202196,1165136939,big,113
"Narrative Finance",8480,44,673586,small,25
"TSM MUSIC MY",2630,132,848917,small,132
"Coding with Lewis",724000,741,229007195,medium,426
"Code First with Hala",44000,139,4617624,small,139
"Zee Movies Kannada",150000,46,30106855,medium,46
"HZad Education - Coaching Central",49700,1327,9608133,small,125
"Drawbridge Finance",63900,382,5166311,small,75
"Finance With Sharan",3650000,817,1299280029,big,175
"ScienceClic English",889000,57,59926501,medium,57
"Chill Music Lab",1310000,273,206218384,big,0
"Mathrubhumi News",6040000,294521,7163316277,big,141
"RKD Movies",3770000,297,899985747,big,175
"Aditya Movies",37900000,12056,16156781565,big,50
"Music Mailari - Topic",17100,29,26961926,small,25
"One Sports",5000000,47256,2588326171,big,65
"The Science Asylum",725000,232,73714041,medium,75
"HD Songs Bollywood",11700000,904,4349971165,big,129
"Fox News",14700000,131191,23195075295,big,115
"Virgin Media Sport",181000,4489,104302605,medium,0
"Concept Technology",362000,844,100078679,medium,275
"Clever Girl Finance",209000,702,8662892,medium,458
" Zee Tamil News",728000,54538,441377898,medium,108
"Tech Burner",12500000,1547,2442301415,big,7
"The Coding Sloth",566000,50,22806627,medium,50
"Vebv Gaming",587000,1730,128632585,medium,35
"Finance & U",17200,199,1076181,small,25
"Technology Connections",3000000,225,410568474,big,222
"Billes de sciences",17300,81,638095,small,81
"ThinkX Technology",2190,58,104684,small,25
